key unixtime vddd_voltage vddd_current vdda_voltage vdda_current
num null 0 0 0 0
2019-06-24_20:49:13 1561376953 10 20 0 0
2019-06-24_20:49:23 1561376963 11 21 0 0
2019-06-24_20:49:33 1561376973 12 22 0 0
2019-06-24_20:49:43 1561376983 13 23 0 0
2019-06-24_20:49:53 1561376993 14 24 0 0
2019-06-24_20:50:03 1561377003 15 25 0 0
2019-06-24_20:50:13 1561377013 16 26 0 0
2019-06-24_20:50:23 1561377023 17 27 0 0
2019-06-24_20:50:33 1561377033 18 28 0 0
2019-06-24_20:50:43 1561377043 19 29 0 0
2019-06-24_20:50:53 1561377053 20 30 0 0
2019-06-24_20:51:03 1561377063 21 31 0 0
2019-06-24_20:51:13 1561377073 22 32 0 0
2019-06-24_20:51:23 1561377083 23 33 0 0
2019-06-24_20:51:33 1561377093 24 34 0 0
2019-06-24_20:51:43 1561377103 25 35 0 0
2019-06-24_20:51:53 1561377113 26 36 0 0
2019-06-24_20:52:03 1561377123 27 37 0 0
2019-06-24_20:52:13 1561377133 28 38 0 0
2019-06-24_20:52:23 1561377143 29 39 0 0
2019-06-24_20:52:33 1561377153 30 40 0 0
2019-06-24_20:52:43 1561377163 31 41 0 0
2019-06-24_20:52:53 1561377173 32 42 0 0
2019-06-24_20:53:03 1561377183 33 43 0 0
2019-06-24_20:53:13 1561377193 34 44 0 0
2019-06-24_20:53:23 1561377203 35 45 0 0
2019-06-24_20:53:33 1561377213 36 46 0 0
2019-06-24_20:53:43 1561377223 37 47 0 0
2019-06-24_20:53:53 1561377233 38 48 0 0
2019-06-24_20:54:03 1561377243 39 49 0 0
2019-06-24_20:54:13 1561377253 40 50 0 0
2019-06-24_20:54:23 1561377263 41 51 0 0
2019-06-24_20:54:33 1561377273 42 52 0 0
2019-06-24_20:54:43 1561377283 43 53 0 0
2019-06-24_20:54:53 1561377293 44 54 0 0
2019-06-24_20:55:03 1561377303 45 55 0 0
2019-06-24_20:55:13 1561377313 46 56 0 0
2019-06-24_20:55:23 1561377323 47 57 0 0
2019-06-24_20:55:33 1561377333 48 58 0 0
2019-06-24_20:55:43 1561377343 49 59 0 0
2019-06-24_20:55:53 1561377353 50 60 0 0
2019-06-24_20:56:03 1561377363 51 61 0 0
2019-06-24_20:56:13 1561377373 52 62 0 0
2019-06-24_20:56:23 1561377383 53 63 0 0
2019-06-24_20:56:33 1561377393 54 64 0 0
2019-06-24_20:56:43 1561377403 55 65 0 0
2019-06-24_20:56:53 1561377413 56 66 0 0
2019-06-24_20:57:03 1561377423 57 67 0 0
2019-06-24_20:57:13 1561377433 58 68 0 0
2019-06-24_20:57:23 1561377443 59 69 0 0
2019-06-24_20:57:33 1561377453 60 70 0 0
2019-06-24_20:57:43 1561377463 61 71 0 0
2019-06-24_20:57:53 1561377473 62 72 0 0
2019-06-24_20:58:03 1561377483 63 73 0 0
2019-06-24_20:58:13 1561377493 64 74 0 0
2019-06-24_20:58:23 1561377503 65 75 0 0
2019-06-24_20:58:33 1561377513 66 76 0 0
2019-06-24_20:58:43 1561377523 67 77 0 0
2019-06-24_20:58:53 1561377533 68 78 0 0
2019-06-24_20:59:03 1561377543 69 79 0 0
2019-06-24_20:59:13 1561377553 70 80 0 0
2019-06-24_20:59:23 1561377563 71 81 0 0
2019-06-24_20:59:33 1561377573 72 82 0 0
